"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Include","Supermarkets"
"Company Attributes","Industry — Include","Apparel and Fashion"
"Company Attributes","Industry — Include","Consumer Goods"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","201"
"Company Attributes","Description Keyword — Include","ecommerce"
"Company Attributes","Description Keyword — Include","digital"
"Company Attributes","Description Keyword — Include","supply chain"
"Company Attributes","Description Keyword — Include","omnichannel"
"Company Attributes","Description Keyword — Include","AI"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Company Attributes","Description Keyword — Exclude","franchise"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Information Technology"
"Job Title","Job Function","General Management"
"Job Title","Job Function","Operations"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Include (Similar To)","CIO"
"Job Title","Job Title — Include (Similar To)","Chief Digital Officer"
"Job Title","Job Title — Include (Similar To)","Head of AI"
"Job Title","Job Title — Include (Similar To)","Head of Data"
"Job Title","Job Title — Include (Similar To)","Head of Technology"
"Job Title","Job Title — Include (Similar To)","IT Director"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Include (Similar To)","Head of Transformation"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Recruiter"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Professional Bio","Bio Keyword","AI"
"Professional Bio","Bio Keyword","digital transformation"
"Professional Bio","About Section Keyword","automation"
"Professional Bio","About Section Keyword","supply chain"
"Professional Bio","About Section Keyword","workflow"
