Company,Tier
M&S,1
H&M,1
BP,1
Greggs,1
NEXT,1
Card Factory,1
EG Group,1
Shell,1
Co-Op (Regionals),1
The Works,1
B&Q,1
Wickes,1
Currys plc,1
Compass Group,1
Whitbread,1
SSP Group,1
Mitchells & Butlers,1
B&M,1
Poundland (Pepco UK),1
Home Bargains (TJ Morris),1
Tesco,1
Holland & Barrett,1
Co-op Group,2
JD Sports,2
Footasylum,2
River Island,2
Reiss,2
AllSaints,2
Sweaty Betty,2
Superdry,2
Harrods,2
Selfridges,2
Toolstation (Travis Perkins),2
Waterstones,2
Halfords,2
Pets at Home,2
AS Watson (Superdrug),2
Five Guys,2
Marston's,2
Nando's,2
Stonegate Pubs,2
Landmark Group,Middle East
Carrefour,Middle East
Al-Futtaim Group,Middle East
Majid Al Futtaim,Middle East
Chalhoub Group,Middle East
Alshaya Group,Middle East
Al Hokair Group,Middle East
Panda (Savola Group),Middle East
Bindawood Holding,Middle East
